bcw_id,group
BCW_200014,DSP
BCW_200016,DSP
BCW_200017,DSP
BCW_200026,DSP
BCW_200028,DSP
BCW_200030,DSP
BCW_200034,DSP
BCW_200035,DSP
BCW_200049,DSP
BCW_200050,DSP
BCW_200053,DSP
BCW_200069,DSP
BCW_200083,DSP
BCW_200084,DSP
BCW_200086,DSP
BCW_200093,DSP
BCW_200095,DSP
BCW_200096,DSP
BCW_200099,DSP
BCW_200102,DSP
BCW_200106,DSP
BCW_200109,DSP
BCW_200113,DSP
BCW_200117,DSP
BCW_200120,DSP
BCW_200122,DSP
BCW_200123,DSP
BCW_200124,DSP
BCW_200129,DSP
BCW_200132,DSP
BCW_200133,DSP
BCW_200136,DSP
BCW_200137,DSP
BCW_200141,DSP
BCW_200142,DSP
BCW_200148,DSP
BCW_200156,DSP
BCW_200161,DSP
BCW_200162,DSP
BCW_200165,DSP
BCW_200167,DSP
BCW_200168,DSP
BCW_200169,DSP
BCW_200171,DSP
BCW_200172,DSP
BCW_200177,DSP
BCW_200181,DSP
BCW_200183,DSP
BCW_200184,DSP
BCW_200194,DSP
BCW_200195,DSP
BCW_200197,DSP
BCW_200199,DSP
BCW_200200,DSP
BCW_200201,DSP
BCW_200203,DSP
BCW_200206,DSP
BCW_200214,DSP
BCW_200216,DSP
BCW_200221,DSP
BCW_200225,DSP
BCW_200226,DSP
BCW_200227,DSP
BCW_200234,DSP
BCW_200236,DSP
BCW_200237,DSP
BCW_200276,DSP
BCW_200281,DSP
BCW_200307,DSP
BCW_200308,DSP
BCW_200317,DSP
BCW_200437,DSP
BCW_200438,DSP
BCW_200440,DSP
BCW_200442,DSP
BCW_200444,DSP
BCW_200446,DSP
BCW_200449,DSP
BCW_200488,DSP
BCW_200496,DSP
BCW_200499,DSP
BCW_200509,DSP
BCW_200517,DSP
BCW_200521,DSP
BCW_200525,DSP
BCW_200552,DSP
BCW_200553,DSP
BCW_200555,DSP
BCW_200559,DSP
BCW_200567,DSP
BCW_200577,DSP
BCW_200578,DSP
BCW_200600,DSP
BCW_200620,DSP
BCW_200647,DSP
BCW_200648,DSP
BCW_200650,DSP
BCW_200651,DSP
BCW_200656,DSP
BCW_200660,DSP
BCW_200661,DSP
BCW_200662,DSP
BCW_200665,DSP
BCW_200667,DSP
BCW_200669,DSP
BCW_200704,DSP
BCW_200727,DSP
BCW_200738,DSP
BCW_200785,DSP
BCW_200797,DSP
BCW_200798,DSP
BCW_200800,DSP
BCW_200801,DSP
BCW_200818,DSP
BCW_200820,DSP
BCW_200821,DSP
BCW_200828,DSP
BCW_200847,DSP
BCW_200855,DSP
BCW_200874,DSP
BCW_200879,DSP
BCW_200880,DSP
BCW_200881,DSP
BCW_200882,DSP
BCW_200885,DSP
BCW_200886,DSP
BCW_200887,DSP
BCW_200891,DSP
BCW_200892,DSP
BCW_200909,DSP
BCW_200915,DSP
BCW_200926,DSP
BCW_200951,DSP
BCW_200955,DSP
BCW_201019,DSP
BCW_201020,DSP
BCW_201021,DSP
BCW_201044,DSP
BCW_201058,DSP
BCW_201059,DSP
BCW_201070,DSP
BCW_201071,DSP
BCW_201075,DSP
BCW_201078,DSP
BCW_201088,DSP
BCW_201091,DSP
BCW_201097,DSP
BCW_201098,DSP
BCW_201107,DSP
BCW_201155,DSP
BCW_201162,DSP
BCW_201184,DSP
BCW_201263,DSP
BCW_201267,DSP
BCW_201290,DSP
BCW_201297,DSP
BCW_201302,DSP
BCW_201304,DSP
BCW_201315,DSP
BCW_201441,DSP
BCW_201443,DSP
BCW_201461,DSP
BCW_201614,DSP
BCW_201615,DSP
BCW_201620,DSP
BCW_201649,DSP
BCW_201659,DSP
BCW_201703,DSP
BCW_201721,DSP
BCW_201808,DSP
BCW_201828,DSP
BCW_201850,DSP
BCW_201858,DSP
BCW_201873,DSP
BCW_201876,DSP
BCW_201879,DSP
BCW_201886,DSP
BCW_201887,DSP
BCW_201888,DSP
BCW_201890,DSP
BCW_201900,DSP
BCW_201901,DSP
BCW_201926,DSP
BCW_201937,DSP
BCW_201972,DSP
BCW_201990,DSP
BCW_200001,SDS
BCW_200002,SDS
BCW_200008,SDS
BCW_200011,SDS
BCW_200032,SDS
BCW_200044,SDS
BCW_200046,SDS
BCW_200056,SDS
BCW_200065,SDS
BCW_200068,SDS
BCW_200073,SDS
BCW_200078,SDS
BCW_200081,SDS
BCW_200100,SDS
BCW_200101,SDS
BCW_200103,SDS
BCW_200105,SDS
BCW_200112,SDS
BCW_200118,SDS
BCW_200119,SDS
BCW_200147,SDS
BCW_200153,SDS
BCW_200154,SDS
BCW_200173,SDS
BCW_200202,SDS
BCW_200209,SDS
BCW_200266,SDS
BCW_200267,SDS
BCW_200290,SDS
BCW_200432,SDS
BCW_200436,SDS
BCW_200443,SDS
BCW_200458,SDS
BCW_200460,SDS
BCW_200477,SDS
BCW_200497,SDS
BCW_200498,SDS
BCW_200527,SDS
BCW_200528,SDS
BCW_200570,SDS
BCW_200574,SDS
BCW_200587,SDS
BCW_200588,SDS
BCW_200589,SDS
BCW_200599,SDS
BCW_200607,SDS
BCW_200621,SDS
BCW_200646,SDS
BCW_200790,SDS
BCW_200791,SDS
BCW_200938,SDS
BCW_200939,SDS
BCW_200944,SDS
BCW_200945,SDS
BCW_200993,SDS
BCW_201292,SDS
BCW_201293,SDS
BCW_201819,SDS
BCW_201851,SDS
BCW_201859,SDS
BCW_201862,SDS
BCW_201868,SDS
BCW_201875,SDS
BCW_201947,SDS
BCW_200003,DSN
BCW_200009,DSN
BCW_200012,DSN
BCW_200013,DSN
BCW_200015,DSN
BCW_200018,DSN
BCW_200023,DSN
BCW_200025,DSN
BCW_200027,DSN
BCW_200029,DSN
BCW_200031,DSN
BCW_200033,DSN
BCW_200036,DSN
BCW_200040,DSN
BCW_200041,DSN
BCW_200043,DSN
BCW_200047,DSN
BCW_200051,DSN
BCW_200054,DSN
BCW_200055,DSN
BCW_200057,DSN
BCW_200060,DSN
BCW_200061,DSN
BCW_200063,DSN
BCW_200064,DSN
BCW_200066,DSN
BCW_200067,DSN
BCW_200071,DSN
BCW_200077,DSN
BCW_200079,DSN
BCW_200082,DSN
BCW_200092,DSN
BCW_200094,DSN
BCW_200097,DSN
BCW_200107,DSN
BCW_200111,DSN
BCW_200114,DSN
BCW_200115,DSN
BCW_200121,DSN
BCW_200128,DSN
BCW_200138,DSN
BCW_200146,DSN
BCW_200149,DSN
BCW_200151,DSN
BCW_200152,DSN
BCW_200155,DSN
BCW_200157,DSN
BCW_200159,DSN
BCW_200163,DSN
BCW_200174,DSN
BCW_200175,DSN
BCW_200180,DSN
BCW_200188,DSN
BCW_200192,DSN
BCW_200196,DSN
BCW_200198,DSN
BCW_200208,DSN
BCW_200213,DSN
BCW_200215,DSN
BCW_200218,DSN
BCW_200219,DSN
BCW_200231,DSN
BCW_200238,DSN
BCW_200241,DSN
BCW_200268,DSN
BCW_200269,DSN
BCW_200270,DSN
BCW_200271,DSN
BCW_200272,DSN
BCW_200275,DSN
BCW_200279,DSN
BCW_200315,DSN
BCW_200319,DSN
BCW_200327,DSN
BCW_200328,DSN
BCW_200464,DSN
BCW_200465,DSN
BCW_200471,DSN
BCW_200473,DSN
BCW_200533,DSN
BCW_200539,DSN
BCW_200542,DSN
BCW_200544,DSN
BCW_200545,DSN
BCW_200547,DSN
BCW_200556,DSN
BCW_200561,DSN
BCW_200565,DSN
BCW_200596,DSN
BCW_200634,DSN
BCW_200641,DSN
BCW_200642,DSN
BCW_200649,DSN
BCW_200663,DSN
BCW_200705,DSN
BCW_200715,DSN
BCW_200716,DSN
BCW_200718,DSN
BCW_200723,DSN
BCW_200724,DSN
BCW_200725,DSN
BCW_200726,DSN
BCW_200736,DSN
BCW_200806,DSN
BCW_200808,DSN
BCW_200810,DSN
BCW_200814,DSN
BCW_200815,DSN
BCW_200883,DSN
BCW_200902,DSN
BCW_200903,DSN
BCW_200904,DSN
BCW_200910,DSN
BCW_200912,DSN
BCW_200920,DSN
BCW_200952,DSN
BCW_200983,DSN
BCW_200984,DSN
BCW_200986,DSN
BCW_200988,DSN
BCW_200989,DSN
BCW_200991,DSN
BCW_200994,DSN
BCW_201007,DSN
BCW_201008,DSN
BCW_201010,DSN
BCW_201013,DSN
BCW_201014,DSN
BCW_201024,DSN
BCW_201025,DSN
BCW_201028,DSN
BCW_201036,DSN
BCW_201045,DSN
BCW_201051,DSN
BCW_201054,DSN
BCW_201056,DSN
BCW_201079,DSN
BCW_201081,DSN
BCW_201083,DSN
BCW_201084,DSN
BCW_201085,DSN
BCW_201090,DSN
BCW_201103,DSN
BCW_201151,DSN
BCW_201152,DSN
BCW_201153,DSN
BCW_201154,DSN
BCW_201173,DSN
BCW_201175,DSN
BCW_201176,DSN
BCW_201185,DSN
BCW_201186,DSN
BCW_201187,DSN
BCW_201236,DSN
BCW_201238,DSN
BCW_201245,DSN
BCW_201248,DSN
BCW_201257,DSN
BCW_201258,DSN
BCW_201260,DSN
BCW_201350,DSN
BCW_201444,DSN
BCW_201445,DSN
BCW_201450,DSN
BCW_201453,DSN
BCW_201648,DSN
BCW_201653,DSN
BCW_201654,DSN
BCW_201662,DSN
BCW_201726,DSN
BCW_201809,DSN
BCW_201811,DSN
BCW_201812,DSN
BCW_201814,DSN
BCW_201825,DSN
BCW_201826,DSN
BCW_201827,DSN
BCW_201832,DSN
BCW_201833,DSN
BCW_201835,DSN
BCW_201839,DSN
BCW_201842,DSN
BCW_201845,DSN
BCW_201847,DSN
BCW_201848,DSN
BCW_201849,DSN
BCW_201853,DSN
BCW_201854,DSN
BCW_201857,DSN
BCW_201861,DSN
BCW_201864,DSN
BCW_201865,DSN
BCW_201866,DSN
BCW_201867,DSN
BCW_201874,DSN
BCW_201877,DSN
BCW_201878,DSN
BCW_201880,DSN
BCW_201881,DSN
BCW_201882,DSN
BCW_201883,DSN
BCW_201884,DSN
BCW_201885,DSN
BCW_201889,DSN
BCW_201891,DSN
BCW_201895,DSN
BCW_201896,DSN
BCW_201897,DSN
BCW_201899,DSN
BCW_201903,DSN
BCW_201909,DSN
BCW_201914,DSN
BCW_201917,DSN
BCW_201933,DSN
BCW_201938,DSN
BCW_201945,DSN
BCW_201949,DSN
BCW_201957,DSN
BCW_201975,DSN
BCW_201982,DSN
BCW_201995,DSN
BCW_201997,DSN
