"","bcw_id","Genus","PO4","Group"
"1","BCW-201649","Raoultella",2214.72392633333,"DSP"
"2","BCW-201304","Rahnella",1798.56850733333,"DSP"
"3","BCW-200182","unassigned",1463.25459333333,"DSP"
"4","BCW-200183","Kosakonia",1325.4593176,"DSP"
"5","BCW-201441","Klebsiella",1310.83844566667,"DSP"
"6","BCW-200600","Raoultella",1246.421268,"DSP"
"7","BCW-200129","Klebsiella",1199.47506566667,"DSP"
"8","BCW-201703","Raoultella",1195.29652333333,"DSP"
"9","BCW-200162","Metakosakonia",1171.91601033333,"DSP"
"10","BCW-200669","Enterobacter",1165.644172,"DSP"
"11","BCW-200113","unassigned",1148.29396333333,"DSP"
"12","BCW-200555","Raoultella",1148.26175866667,"DSP"
"13","BCW-201315","Rahnella",1111.45194266667,"DSP"
"14","BCW-200449","Raoultella",1102.24948866667,"DSP"
"15","BCW-200308","Metakosakonia",1099.905571,"DSP"
"16","BCW-200117","Raoultella",1099.73753266667,"DSP"
"17","BCW-200234","unassigned",1099.73753266667,"DSP"
"18","BCW-200444","Raoultella",1095.09202466667,"DSP"
"19","BCW-200172","Klebsiella",1087.926509,"DSP"
"20","BCW-200647","Rahnella",1086.91206546667,"DSP"
"21","BCW-200169","Raoultella",1078.74015766667,"DSP"
"22","BCW-200142","Raoultella",1076.1154855,"DSP"
"23","BCW-201900","Raoultella",1071.57464213333,"DSP"
"24","BCW-200167","Klebsiella",1053.805774,"DSP"
"25","BCW-200168","Metakosakonia",1053.805774,"DSP"
"26","BCW-200120","Raoultella",1052.49343833333,"DSP"
"27","BCW-200133","unassigned",1041.9947505,"DSP"
"28","BCW-200578","Rahnella",1038.854806,"DSP"
"29","BCW-200171","Raoultella",1036.7454067,"DSP"
"30","BCW-200177","Klebsiella",1035.43307063333,"DSP"
"31","BCW-201297","Rahnella",1032.8611897,"DSP"
"32","BCW-200704","Raoultella",1024.53987743333,"DSP"
"33","BCW-200828","Rahnella",1022.4948878,"DSP"
"34","BCW-200892","Raoultella",1018.69688403333,"DSP"
"35","BCW-201019","Klebsiella",1017.38241316667,"DSP"
"36","BCW-200136","Klebsiella",1011.8110237,"DSP"
"37","BCW-200509","Metakosakonia",1002.64400366667,"DSP"
"38","BCW-200123","Klebsiella",998.6876639,"DSP"
"39","BCW-200577","Raoultella",995.089707233333,"DSP"
"40","BCW-200891","Raoultella",992.256846166667,"DSP"
"41","BCW-200181","Kosakonia",992.125984266667,"DSP"
"42","BCW-200195","unassigned",988.188976266667,"DSP"
"43","BCW-200124","Klebsiella",985.564304533333,"DSP"
"44","BCW-200203","Raoultella",981.627296566667,"DSP"
"45","BCW-200885","Raoultella",981.595092,"DSP"
"46","BCW-200148","unassigned",979.0026245,"DSP"
"47","BCW-200086","Klebsiella",976.4826177,"DSP"
"48","BCW-200200","unassigned",976.377952733333,"DSP"
"49","BCW-200030","Raoultella",970.347648533333,"DSP"
"50","BCW-200281","Raoultella",956.032719733333,"DSP"
"51","BCW-200648","Raoultella",952.9652353,"DSP"
"52","BCW-200156","unassigned",952.755905533333,"DSP"
"53","BCW-200225","unassigned",952.7559055,"DSP"
"54","BCW-200199","unassigned",952.755905433333,"DSP"
"55","BCW-200437","Raoultella",952.596789466667,"DSP"
"56","BCW-200216","Enterobacter",946.1942258,"DSP"
"57","BCW-200442","Raoultella",944.098205966667,"DSP"
"58","BCW-200317","Enterobacter",936.5439093,"DSP"
"59","BCW-201659","Enterobacter",920.5211725,"DSP"
"60","BCW-200201","unassigned",917.322834633333,"DSP"
"61","BCW-200307","Metakosakonia",916.155419233333,"DSP"
"62","BCW-200236","unassigned",913.385826733333,"DSP"
"63","BCW-201858","Metakosakonia",911.0429447,"DSP"
"64","BCW-200440","Raoultella",910.103871633333,"DSP"
"65","BCW-200109","Enterobacter",909.4488189,"DSP"
"66","BCW-200093","Klebsiella",907.975460133333,"DSP"
"67","BCW-201021","Klebsiella",907.975460133333,"DSP"
"68","BCW-200102","Enterobacter",902.8871391,"DSP"
"69","BCW-200650","Rahnella",902.862985666667,"DSP"
"70","BCW-200237","unassigned",898.950131233333,"DSP"
"71","BCW-200874","Raoultella",897.8281398,"DSP"
"72","BCW-200083","Klebsiella",897.750511233333,"DSP"
"73","BCW-201098","Raoultella",897.750511233333,"DSP"
"74","BCW-200438","Raoultella",893.6605317,"DSP"
"75","BCW-201443","Raoultella",892.1624175,"DSP"
"76","BCW-200818","Rahnella",887.525562333333,"DSP"
"77","BCW-200137","Klebsiella",880.577427733333,"DSP"
"78","BCW-200221","unassigned",877.952755933333,"DSP"
"79","BCW-201850","Metakosakonia",876.278118466667,"DSP"
"80","BCW-200738","Raoultella",873.276675966667,"DSP"
"81","BCW-200099","Klebsiella",873.210633933333,"DSP"
"82","BCW-200801","Rahnella",871.1656442,"DSP"
"83","BCW-200552","Rahnella",870.1431493,"DSP"
"84","BCW-200517","Metakosakonia",867.075664633333,"DSP"
"85","BCW-201461","Raoultella",866.666666666667,"DSP"
"86","BCW-200050","Enterobacter",866.053169766667,"DSP"
"87","BCW-201302","Rahnella",866.053169733333,"DSP"
"88","BCW-201267","unassigned",865.030674833333,"DSP"
"89","BCW-200184","unassigned",863.517060333333,"DSP"
"90","BCW-200651","Klebsiella",855.335221933333,"DSP"
"91","BCW-200559","Rahnella",853.446647766667,"DSP"
"92","BCW-201901","Raoultella",852.7607362,"DSP"
"93","BCW-200820","Raoultella",851.7382413,"DSP"
"94","BCW-200096","Klebsiella",848.670756633333,"DSP"
"95","BCW-200951","Metakosakonia",839.468302666667,"DSP"
"96","BCW-200034","Enterobacter",839.468302666667,"DSP"
"97","BCW-200106","Raoultella",838.582677033333,"DSP"
"98","BCW-200026","Enterobacter",834.355828233333,"DSP"
"99","BCW-201886","Metakosakonia",834.355828233333,"DSP"
"100","BCW-201091","Rahnella",830.7837583,"DSP"
"101","BCW-200084","Klebsiella",830.265848666667,"DSP"
"102","BCW-200525","Raoultella",824.130879333333,"DSP"
"103","BCW-200785","Pseudomonas",823.229461766667,"DSP"
"104","BCW-200014","Enterobacter",821.0633947,"DSP"
"105","BCW-200069","Klebsiella",817.995910033333,"DSP"
"106","BCW-200800","Rahnella",816.973415133333,"DSP"
"107","BCW-200028","unassigned",815.950920266667,"DSP"
"108","BCW-200776","Raoultella",814.928425366667,"DSP"
"109","BCW-200886","Raoultella",813.905930466667,"DSP"
"110","BCW-200161","Raoultella",812.335958,"DSP"
"111","BCW-201184","Rahnella",811.8609407,"DSP"
"112","BCW-200521","Raoultella",809.8159509,"DSP"
"113","BCW-200235","unassigned",808.398950166667,"DSP"
"114","BCW-200132","Klebsiella",807.086614166667,"DSP"
"115","BCW-201071","Raoultella",804.7034764,"DSP"
"116","BCW-201263","Klebsiella",797.546012266667,"DSP"
"117","BCW-201162","Rahnella",796.5235174,"DSP"
"118","BCW-200727","Raoultella",793.456032733333,"DSP"
"119","BCW-200226","Kosakonia",784.7769029,"DSP"
"120","BCW-200880","Raoultella",781.186094066667,"DSP"
"121","BCW-200926","Raoultella",781.186094066667,"DSP"
"122","BCW-201075","Raoultella",780.736543933333,"DSP"
"123","BCW-200915","Raoultella",780.1635992,"DSP"
"124","BCW-201890","Raoultella",776.073619633333,"DSP"
"125","BCW-200294","Raoultella",768.460812066667,"DSP"
"126","BCW-200446","Raoultella",767.893660533333,"DSP"
"127","BCW-200567","Metakosakonia",762.7811861,"DSP"
"128","BCW-201070","Rahnella",759.962228533333,"DSP"
"129","BCW-200855","Raoultella",757.668711666667,"DSP"
"130","BCW-200797","Rahnella",755.623721866667,"DSP"
"131","BCW-200049","Klebsiella",754.601227,"DSP"
"132","BCW-200553","Raoultella",738.2413088,"DSP"
"133","BCW-201721","Enterobacter",738.2413088,"DSP"
"134","BCW-201044","Raoultella",736.355051933333,"DSP"
"135","BCW-201107","Raoultella",736.355051933333,"DSP"
"136","BCW-200909","Raoultella",736.196319,"DSP"
"137","BCW-200879","Raoultella",734.151329266667,"DSP"
"138","BCW-200227","Kosakonia",732.283464566667,"DSP"
"139","BCW-200214","Kosakonia",729.658792633333,"DSP"
"140","BCW-200496","Raoultella",725.971370166667,"DSP"
"141","BCW-200955","Metakosakonia",722.903885466667,"DSP"
"142","BCW-200122","Enterobacter",721.7847769,"DSP"
"143","BCW-201059","Rahnella",720.8588957,"DSP"
"144","BCW-200881","Raoultella",719.836400833333,"DSP"
"145","BCW-201614","Raoultella",713.701431466667,"DSP"
"146","BCW-200141","Kosakonia",709.973753266667,"DSP"
"147","BCW-200499","Raoultella",709.611451933333,"DSP"
"148","BCW-200053","Klebsiella",706.5439673,"DSP"
"149","BCW-200194","Kosakonia",703.4120735,"DSP"
"150","BCW-200210","Kosakonia",702.099737533333,"DSP"
"151","BCW-200662","Klebsiella",701.431492866667,"DSP"
"152","BCW-200095","Enterobacter",698.364008166667,"DSP"
"153","BCW-200665","Raoultella",695.2965235,"DSP"
"154","BCW-201615","Raoultella",687.116564433333,"DSP"
"155","BCW-200821","Rahnella",687.1165644,"DSP"
"156","BCW-200016","Enterobacter",685.071574666667,"DSP"
"157","BCW-200206","Enterobacter",683.7270341,"DSP"
"158","BCW-201078","Raoultella",677.914110433333,"DSP"
"159","BCW-200882","Raoultella",675.869120666667,"DSP"
"160","BCW-200197","Kosakonia",674.5406824,"DSP"
"161","BCW-201088","Rahnella",672.801636,"DSP"
"162","BCW-200660","Klebsiella",671.779141133333,"DSP"
"163","BCW-201155","Metakosakonia",670.2549575,"DSP"
"164","BCW-200847","Raoultella",665.644171766667,"DSP"
"165","BCW-200887","Raoultella",652.351738266667,"DSP"
"166","BCW-200620","Raoultella",650.3067485,"DSP"
"167","BCW-200488","Raoultella",644.171779133333,"DSP"
"168","BCW-200667","Enterobacter",641.1042945,"DSP"
"169","BCW-201058","Metakosakonia",639.093484433333,"DSP"
"170","BCW-200017","Enterobacter",623.7218814,"DSP"
"171","BCW-200035","Enterobacter",615.541922266667,"DSP"
"172","BCW-200276","Raoultella",607.932011366667,"DSP"
"173","BCW-201972","Metakosakonia",600.204499,"DSP"
"174","BCW-201097","unassigned",593.047034766667,"DSP"
"175","BCW-201620","Raoultella",587.157695933333,"DSP"
"176","BCW-201828","Metakosakonia",582.8220859,"DSP"
"177","BCW-200165","Raoultella",559.055118,"DSP"
"178","BCW-201020","Klebsiella",558.2822086,"DSP"
"179","BCW-200656","Metakosakonia",550.1022495,"DSP"
"180","BCW-200798","Rahnella",548.057259733333,"DSP"
"181","BCW-201926","Raoultella",541.9222904,"DSP"
"182","BCW-200661","Raoultella",540.8997955,"DSP"
"183","BCW-201937","Metakosakonia",528.629856833333,"DSP"
"184","BCW-201876","Metakosakonia",519.427402866667,"DSP"
"185","BCW-201873","Metakosakonia",512.269938633333,"DSP"
"186","BCW-201990","Metakosakonia",507.1574642,"DSP"
"187","BCW-201887","Metakosakonia",480.572597133333,"DSP"
"188","BCW-201888","Metakosakonia",480.572597133333,"DSP"
"189","BCW-201879","Metakosakonia",448.8752556,"DSP"
"190","BCW-201808","Metakosakonia",444.785276066667,"DSP"
"191","BCW-201290","Pseudomonas",391.6155419,"DSP"
"192","BCW-200644","Rahnella",NA,"DSP"
"193","BCW-201259","Rahnella",NA,"DSP"
